Nom,Type de whisky,Degré d'alcool,Brasserie,Pays,Prix,Epicé/Boisé,Tourbé/Fumé,Iodé,Fruité,Floral/Végétal,Malté,Organique,Vivacité,Pâtissier,Visuel,Odeur,Goût,Ancienneté,Description,Url
BM SIGNATURE WHISKY VIN JAUNE 9 ANS 42%,SINGLE MALT,42.0,ROUGET DE LISLE,FRANCE,65.0,6,0,0,10,4,4,4,8,0,Or jaune,"Fruits secs, pain grillé, cire, noix","Rancio, fruité, noix, boisé, fruits à coque, épices, floral",9,"Situé au cœur du Jura, la distillerie du Rouget de Lisle nous offre une gamme de whisky 100% Jurassien. Cette fois c'est avec un finish en fût de vin de paille.
Initialement brasserie, La Rouget de Lisle fût fondée 1994. Après 13 ans de distillation occasionnelle, Bruno Mangin, le fondateur, acquière un alambic à colonne de 1935 qu'il fait restaurer. Depuis, l'ensemble du processus est réalisé sur place, permettant une grande liberté d'innovation et un contrôle important de la qualité et de la palette aromatique.
Brassé, distillé et vieilli dans le Jura, le vieillissement de 9 ans dans ces fûts si particulier apporte une vraie personnalité à ce whisky. Des arômes miellés, de pain grillé et de fleurs jaunes se concentrent avec un ensemble vineux et légèrement sucré. Très gourmand !",https://vandb.fr/bm-signature-whisky-vin-jaune-9-ans-42-.html
SONOMA 46%,BOURBON,46.0,SONOMA DISTILLING COMPANY,ETATS-UNIS,66.0,6,0,0,8,2,2,0,4,6,Ambre Profond,"Fruits, Épices, Bois, Maïs","Clou de Girofle, Muscade, Chêne, Vanille",0,"Située en Californie, la distillerie Sonoma produit une gamme de grande qualité, reconnue de tous les amateurs de whiskeys américains, malgré seulement 10 années de production. Adam Spiegel est ainsi le fondateur de l'une des 200 premières distilleries artisanales du pays.
Avec ce bourbon, la distillerie prouve son véritable savoir-faire, en hommage à leurs lointains ancêtres qui furent les premiers de la côte Ouest du maïs pour le distiller.
Ce bourbon est composé à 70% de maïs, 25% de blé et 5% d'orge malté. La part importante de maïs permet d’apporter une importante part de rondeur, de richesse. Le blé apporte ici une touche très fruitée, alors que l'orge maltée apporte des épices tels que la coriandre ou le clou de girofle.
Un bourbon tout en rondeur, possède un vrai caractère !",https://vandb.fr/sonoma-46-.html
TOGOUCHI KIWAMI 40%,BLENDED,40.0,NON COMMUNIQUÉE,JAPON,44.5,6,0,0,4,4,0,0,2,8,Or clair,"Noix, herbe","Noisette, miel, poivre blanc, chocolat, muscade",0,"C'est en 1918 que la brasserie Chugoku Jozo, située non loin d'Hiroshima, se lance dans la production de sakés, de shochus et de liqueurs. En 1990, la distillerie se lance alors dans la production de whisky.
Le master-blender se charge de la sélection minutieuse des jus (de grains et malts), avant de les laisser doucement se reposer dans un tunnel long de 361 mètres, garantissant une hygrométrie et un climat parfaits.
On obtient alors un whisky fin et équilibré. Togouchi Kiwami est le parfait exemple de ce savoir-faire dans l'assemblage.
Créé à partir de 20% d'orge maltée et de 80% de grain, ce whisky japonnais vous séduira par ses notes boisées, céréalières et épicées.",https://vandb.fr/togouchi-kiwami-40-.html
CUTTY SARK PROHIBITION 50%,BLENDED,50.0,NON COMMUNIQUÉE,ROYAUME-UNI,29.0,6,0,0,4,0,0,0,4,8,Or pale,"Poivre, caramel, vanille","Vanille, épices, caramel",0,"Édition spéciale de la marque Cutty Sark, cet assemblage de malts écossais est embouteillé à 50%, et rend hommage au Capitaine McCoy qui se chargea de faire rentrer illégalement le whisky aux USA durant la Prohibition dans les années 20.
C'est ainsi un double clin d’œil à cette période difficile pour tous les alcooliers, durant laquelle la production, la vente, et la consommation d'alcool étaient interdites sur le territoire des États-Unis. C'est au cours de cette période que la contrebande d'alcool a explosé.
Ce Blended Malt se caractérise par des notes vanillées, fruitées sur les fruits exotiques avec une finesse et une rondeur rehaussée par son titrage à 50°.
Un véritable pan de l'histoire du whisky écossais !",https://vandb.fr/cutty-sark-prohibition-50-.html
"MACKMYRA SVENSK EK 46,1%",SINGLE MALT,46.1,MACKMYRA,SUÈDE,68.0,6,0,0,8,6,2,0,4,6,Or Jaune,"Citron, Épices, Bois","Fruits, Chocolat, Miel",0,"La dynamique distillerie « Gravity », propriété de Mackmyra, nous livre comme à son habitude un whisky raffiné et élégant. Porté par les épices et les fruits jaunes, l’eau pure des glaciers lui confère une douceur très agréable.
Ce whisky titrant 46,1%, issu d’orge suédois, s’est reposé et a vieillit dans de petites barriques de chêne local (île de Visingö) le tout dans les chais de la distillerie situé à 50 mètres de profondeur.
Depuis quelques années maintenant, nous voyons apparaître de nouveaux pays sur le planisphère Whisky. La distillerie Mackmyra fait parti de ces nouveaux acteurs sur la scène internationale et permet ainsi d'ajouter la Suède sur notre carte.
C'est au printemps 2012 que la jeune distillerie lance sa première édition permanente. Et depuis, un long chemin a été parcouru avec des références toutes plus innovantes. Svensk Ek est de celles-ci. Laissez-vous tenter par le ""Nouveau Monde"" du whisky !",https://vandb.fr/mackmyra-svensk-ek-46-1-.html
"ICHIRO'S MALT & GRAIN 46,5%",BLENDED,46.5,CHICHIBU,JAPON,85.0,4,0,0,6,6,4,0,4,0,Or Jaune,"Fruits Jaunes, Agrumes, Vanille","Caramel, Malté, Foin Frais",0,"Installé à Chichibu, Ichiro est reconnu pour ses embouteillages de whiskies mythiques d'Hanyu ou de Kawasaki. La distillerie est également une experte en assemblage de malts comme avec le célèbre Mizunara Wood Reserve.
Ici, Ichiro's Malt nous prouve une nouvelle fois son savoir-faire d'assembleur avec un blend de malt et de grain. Dans un assemblage de ce type, chaque type de céréale apporte son lot d'arômes. Le malt permet d'ajouter une touche épicée, plus corsée, alors qu'à l'inverse, le grain sert principalement à apporter de la richesse, de la rondeur. Ainsi, on obtient un whisky équilibré entre la gourmandise et les épices.
Ichiro's Malt nous offre ainsi un jeune whisky riche et suave aux notes vanillées, fruitées et épicées. Le tout est rond et très complexe.",https://vandb.fr/ichiro-s-malt-grain-46-5-.html
TOGOUCHI SAKÉ CASK 40%,BLENDED,40.0,TOGOUCHI,JAPON,49.9,2,0,0,8,4,4,0,2,2,Or,"Fruits du Verger, Malté, Vanille","Miel, Malt, Fruits Frais",0,"Située non loin d'Hiroshima, Chugoku Shozo élabore depuis 1918 différents types d'alcools comme des liqueurs de fruits, mais surtout du saké. C'est en 1990 que la distillerie se lance dans la production de whisky.
C'est donc en toute logique que 100 ans plus tard, le whisky Togouchi se part d'un nouveau finish, en fûts de saké. Togouchi Saké Cask est vieilli en fûts de bourbon puis affiné 3 mois en fûts de Saké provenant directement des chais de Chugoku Jozo.
Cet affinage inédit dans le whisky apporte un second souffle au jus de Togouchi, l'enrobant de notes lactiques et fruités.
Fraicheur et gourmandise sont toujours au rendez-vous avec ce spiritueux !",https://vandb.fr/togouchi-sake-cask-40-.html
WATERFORD BALLYKILCAVAN 1.2 SINGLE FARM 50%,SINGLE MALT,50.0,WATERFORD,IRLANDE,79.9,0,0,0,8,0,4,0,8,8,Or Pâle,Fruité,"Raisin sec, cerise, toffee",4,"Nous retrouvons David pour cette nouvelle version du Waterford Ballykilcavan, la 1.2.
Comme son nom l'indique, Waterford Single Farm, l'orge utilisée pour la fabrication de ce whisky vient d'une seule et unique ferme : celle de David Walsh-Kemmis. David est donc le premier maillon de ce single farm, il est l'agriculteur qui a cultivé l'orge pour le whisky .
Mark Reynier, l'investigateur de ce whisky, est bien connu dans l'univers du whisky. Il a, par le passé, réveillé Bruichladdich, célèbre distillerie reconnue pour sa transparence et l'importance de sa provenance, l'île d'Islay. Ici encore, Mark n'a qu'un but, mettre le terroir au cœur de ses whiskies.
Nul doute que Mark Reynier est bien là pour changer les codes. Il a ouvert la voie à plus de transparence au sein de l'industrie du whisky.
La grosse cerise sur le gâteau ? On prend un plaisir fou à déguster ce whisky Waterford Single Farm Ballykilcavan 1.2.",https://vandb.fr/waterford-ballykilcavan-1-2-single-farm-50-.html
WATERFORD BANNOW ISLAND 1.2 SINGLE FARM 50%,SINGLE MALT,50.0,WATERFORD,IRLANDE,79.9,6,0,0,8,0,8,0,6,6,Or pâle,"Malté, pomme, vanille, miel","Boisé, fruits blancs, poivre, miel, caramel",4,"Mark Reynier, bien connu dans le milieu avec son succès Bruichladdich, a voulu se lancer un nouveau défi : aller en Irlande, pays en pleine renaissance dans le monde du whisky, pour appliquer les principes de production qui lui sont chers, comme la provenance, le terroir et la transparence.
Pour ce faire, il a construit une distillerie ultra moderne. Souhaitant anticiper les premières productions, il a conclu, lors des travaux, des partenariats sur les céréales avec des agriculteurs locaux. C'est donc Ed Harpur, agriculteur irlandais, qui fournit exclusivement l'orge de ce Whisky Single Farm.
La démarche d'un Single Farm est jusqu'au-boutiste. Il faut identifier la ferme, l'agriculteur et travailler main dans la main la notion de terroir.
Faites confiance à Mark Reynier et Ed Harpur, ce Waterford 1.2 tient toutes ses promesses !",https://vandb.fr/waterford-bannow-island-1-2-single-farm-50-.html
ARDBEG WEE BEASTIE 5 ANS 47.4%,SINGLE MALT,47.4,ARDBEG,ECOSSE,47.9,4,10,4,0,8,0,4,10,6,Jaune pale,"Plantes, poivre, tourbe, résine, fenouil","Chocolat, tourbe, bacon, anis, iode, cacao",5,"Ardbeg Wee Beastie 5 ans devient la nouvelle entrée de gamme de la distillerie Ardbeg.
Son nom, ""Petit Monstre"", représente parfaitement le caractère jeune et fougueux de ce Single Malt vieilli dans une combinaison de fûts de bourbon et de sherry Oloroso.
Tout juste âgé de 5 ans, ses arômes n'en sont pas moins complexes : naviguant entre la tourbe fraîche et puissante, saline et végétale, emblématique de la distillerie d'Islay, et les notes complexes de cuir, de pin, de bacon fumé et de chocolat.
Son petit plus : il est non filtré à froid et embouteillé à 47,4%.
Oserez-vous défier La Bête ?",https://vandb.fr/ardbeg-wee-beastie-5-ans-47-4-.html
"AILSA BAY 48,9%",SINGLE MALT,48.9,AILSA BAY,ROYAUME-UNI,69.9,4,8,0,6,6,0,0,4,4,ambre soutenu,"Bois fumé, bruyère, pommes caramélisées","Tourbe vive, vanille, fruits, caramel, boisé",0,"Une jeune distillerie dans le monde du whisky, Aisla Bay vous emmène sur un chemin rarement emprunté des distilleries hors Islay.
La tourbe est dans ce cas subtilement maitrisée, et le vieillissement dans des fûts de type ""Quarter Cask"" permet un bel échange avec le bois.
Le tout est harmonieusement réussi, Ailsa Bay est une superbe découverte et un nom à retenir pour le futur.",https://vandb.fr/ailsa-bay-48-9-.html
BENJAMIN KUENTZ FIN DE PARTIE 46%,SINGLE MALT,46.0,NON COMMUNIQUÉE,FRANCE,59.0,4,2,0,6,2,4,2,4,6,Paille,"Pain d’Épice, Cacao, Vanille","Fruits, Cacao, Épices",4,"Pour cette nouvelle référence, Benjamin Kuentz vise un instant privilégié de notre journée : le crépuscule. Un moment où l'on échange, où l'on décompresse, où l'on médite, où l'on refait le match. D'où le nom de cette référence : Fin de Partie.
Benjamin Kuentz a conçu ce whisky pour qu'il s'harmonise avec cet instant. Nous retrouvons un whisky plus riche, plus profond, qui nous accompagne avec une très longue finale, et qui s'accorde ainsi à merveille avec ce moment de communion.
Rien ne vaut une dégustation pour découvrir la vision de Benjamin Kuentz, et profiter de la meilleure osmose pour votre fin de journée.
Bonne fin de partie...",https://vandb.fr/benjamin-kuentz-fin-de-partie-46-.html
THE BALVENIE 12 ANS THE SWEET TOAST OF AMERICAN OAK 43%,SINGLE MALT,43.0,THE BALVENIE,ECOSSE,59.0,4,0,0,8,2,4,0,4,6,Or Ambré,"Vanille, Épices, Cannelle, Gingembre","Agrumes, Caramel, Vanille, Boisé",12,"Pour ce premier opus des “Balvenie Stories”, l'apprentie Maître de Chai Kelsey McKechnied a sélectionné des whiskies de 12 ans d'âge ayant vieilli dans des fûts ex-bourbon importés du Kentucky, et rebrûlés à nouveau pour en extraire un maximum de saveurs.
Un Single Malt accessible, riche et fruité qui exacerbe le style Speyside. Ce spiritueux conviendra aux férus comme aux débutants !",https://vandb.fr/the-balvenie-12-ans-the-sweet-toast-of-american-oak-43-.html
JURA FRENCH OAK 42%,SINGLE MALT,42.0,JURA,ECOSSE,42.9,0,0,0,10,6,0,0,6,6,Or Satiné,"Fruits du verger, fleurs blanches","Caramel, agrumes, vanille",0,"JURA est la seule distillerie perchée sur l'île de Jura. Si vous avez la chance de vous rendre sur l'île, vous y trouverez, 1 distillerie, 1 route, 200 habitants et 5000 biches !!!
Les alambics Pot Still de la distillerie JURA font partie des plus hauts d'Ecosse (8 mètres). Ces alambics d'un autre genre permettent à Jura de sortir des ""New Make"" fins et élégants portés sur les agrumes et la pinède. De beaux reflets or accompagnent un nez floral sur les fruits frais. En bouche c'est un malt gourmand avec une pointe d'épices.
Parlons confection. Vous avez ici un whisky Jura qui a bénéficié d'une double distillation en Pot Still et un finish en fût de chêne français qui apporte un côté épicé, fin et bien équilibré.
Cocorico ! Le whisky Jura French Oak est disponible uniquement sur le marché français et uniquement chez V and B. Profitez-en !",https://vandb.fr/jura-french-oak-42-.html
"ABERLOUR A'BUNADH ORIGINAL CASK STRENGTH 59,2%",SINGLE MALT,59.2,ABERLOUR,ECOSSE,69.0,8,4,0,10,0,6,0,4,0,Or ambré,"Complexe, fine tourbe, mangue, pomme rouge","Maltée, fruits rouges, épices, noisettes, chocolat",0,"Aberlour est une des plus vieilles et des plus emblématiques distilleries du Speyside. Elle a vu de jour bien avant la légalisation de la distillation d'alcool en Ecosse, et depuis, Aberlour s'est construit une solide réputation autour grâce à sa gamme de whisky.
A'Bunadh, qui signifie ""origine"" en gaélique, est une recette qui a vu le jour pour la première fois en 1998 et qui n'a pas changé depuis. Ce whisky est élaboré selon des techniques traditionnelles telle que la filtration légère comme celle pratiquée au XIXème siècle. Le vieillissement exclusif en fûts de sherry Oloroso de premier remplissage offre à ce single malt un goût puissant et prononcé. Embouteillé brut de fût à 60,8%, c'est à dire sans réduction du degré alcoolique, il nous rappelle les malts anciens.
Un bel hommage au père fondateur de la distillerie, James Fleming !",https://vandb.fr/aberlour-a-bunadh-original-cask-strength-59-2-.html
WATERFORD BALLYKILCAVAN 1.1 SINGLE FARM 50%,SINGLE MALT,50.0,WATERFORD,IRLANDE,79.9,4,0,0,8,2,6,0,8,2,Or Pale,"Fruité, Végétal, Malté","Fruits Secs, Toffee, Huileux",4,"David est le premier maillon de ce single farm, il est l'agriculteur qui a cultivé l'orge pour le whisky Waterford Single Farm Ballykilcavan 1.1. Comme son nom l'indique, l'orge utilisé pour la fabrication de ce whisky vient d'une seule et unique ferme : celle de David Walsh-Kemmis.
Mark Reynier, l'investigateur de ce whisky, est bien connu dans l'univers du whisky. Il a, par le passé, réveillé Bruichladdich,célèbre distillerie endormie sur l'île d'Islay. Il n'a qu'un but, mettre le terroir au centre de ces bouteilles. Dans ce second challenge, il met de nouveau le terroir au cœur de ses whiskies. Nul doute que Mark Reynier est bien là pour bouger les lignes. Il a ouvert la voie à plus de transparence.
La grosse cerise sur le gâteau ? On prend un plaisir fou à déguster ce whisky Waterford Single Farm Ballykilcavan 1.1.",https://vandb.fr/waterford-ballykilcavan-1-1-single-farm-50-.html
"THE BALVENIE 14 ANS THE WEEK OF PEAT 48,3%",SINGLE MALT,48.3,THE BALVENIE,ECOSSE,87.0,4,6,2,6,6,4,0,2,4,Or,"Tourbe, Miel, Floral","Agrumes, Fumée, Miel",14,"Non ce n'est pas une semaine comme les autres ! Chez The Balvenie, on profite de la semaine annuelle d'entretien du matériel pour distiller des whiskies tourbés.
Pas avec n'importe quelle tourbe, celle du Speyside, chaque année la collection est dévoilée après 14 années de vieillissement dans des fûts ayant autrefois contenu du bourbon.
Cette bouteille de whisky The Balvenie 14 ans, The Week Of Peat toute en nuance offre une jolie porte d'entrée dans la tourbe, on y retrouve la souplesse du whisky du Speyside habilement mariée à la délicatesse de la tourbe.
Laissez-vous tenter par ce whisky The Week Of Peat, le modèle est unique et abordable.",https://vandb.fr/the-balvenie-14-ans-the-week-of-peat-48-3-.html
"CHICHIBU ON THE WAY 2019 51,5%",SINGLE MALT,51.5,CHICHIBU,JAPON,279.0,6,0,0,8,2,4,0,4,6,Or Brun,"Miel, Fruits, Épices","Fruité, Vanille, Pâtissier",7,"Cette toute jeune distillerie est déjà extrêmement réputée, Ichiro Akuto est petit fils de distillateur et pas n'importe quel distillateur. En effet son grand-père distillait dans la mythique distillerie de Hanyu.
Ichiro Akuto perpetu les traditions du whisky japonais et il souhaite, en hommage à la culture wihisky de son pays, réaliser un whisky 100% japonais.
Le whisky On The Way 2019 assemble à sa base des malts japonais de 7 et 10 ans qui ont vieillis dans des fûts ex-bourbon et des fûts de Mizunara (une essence de chêne qui pousse au Japon et lui confère une folle gourmandise).
Sautez sur l'occasion de déguster cette merveille créée par Ichiro Akuto. Les bouteilles de cette distillerie sont toujours une réussite et rares. On espère que vous pourrez goûter ce whisky.",https://vandb.fr/chichibu-on-the-way-2019-51-5-.html
"OCTOMORE 10.3 61,3%",SINGLE MALT,61.3,BRUICHLADDICH,ECOSSE,229.0,6,10,8,6,4,6,4,8,0,Or Profond,"Chêne, Iode, Tourbe, Agrumes, Épices","Salé, Miel, Citron, Chocolat",6,"La particularité de cet Octomore 10.3 n'est pas d'être le petit frère du whisky le plus tourbé au monde, ni d'être un brut de fût.
Mais bel et bien d'être un 100% Islay. Cela signifie que l'ensemble des ingrédients qui composent ce whisky tourbé proviennent de l'île d'Islay.
Une particularité importante car l'île ne fait que 619 km2, soit à peine 1% de la surface de l'Ecosse, et ne produit que de petits volumes de céréales.
Cette version reste fidèle à l'identité et l'ADN que Mark Reynier avait donné au premier whisky Octomore. En effet Octomore ne cesse de repousser les limites.
Avant de le déguster on est toujours conditionné par le degré et les PPM (mesure de la tourbe en partie par million de phénols).
À chaque dégustation, la surprise est toujours aussi immense, rien de brutal on passe de la douceur de la tourbe à l'onctuosité du brut de fût.
Si vous n'avez pas la chance d'aller sur Islay, rassurez-vous, il vous reste les whiskies Octomore.",https://vandb.fr/octomore-10-3-61-3-.html
WATERFORD BANNOW ISLAND 1.1 SINGLE FARM 50%,SINGLE MALT,50.0,WATERFORD,IRLANDE,79.9,4,0,2,8,2,6,0,8,4,Or Pale,"Malté, Fruits Secs, Vanille","Agrumes, Épices, Vif",4,"Mark Reynier bien connu dans le milieu avec son succès Bruichladdich a voulu se lancer un nouveau défi.
Aller en Irlande, pays en pleine renaissance dans le monde du whisky, pour appliquer les principes de distillation qui lui sont chers.
Pour ce faire, il a construit une distillerie ultra moderne. Souhaitant anticiper les premières productions, il a conclu, lors des travaux, des partenariats sur les céréales avec des agriculteurs locaux. C'est donc Ed Harpur, agriculteur irlandais, qui fournit exclusivement l'orge de ce Whisky Single Farm.
La démarche d'un Single Farm est jusqu'au-boutiste. Il faut identifier la ferme, l'agriculteur et travailler main dans la main la notion de terroir.
Faites confiance à Mark Reynier et Ed Harpur, ce Waterford tient toutes ses promesses !",https://vandb.fr/waterford-bannow-island-1-1-single-farm-50-.html
BENJAMIN KUENTZ (D'UN) VERRE PRINTANIER 46%,SINGLE MALT,46.0,MULTIPLES,FRANCE,57.0,4,0,0,10,8,8,0,10,0,Vin blanc,"Floral, fruité, poire, céréales fraîches","Croquante, fruitée, végétale, épicée, caramélisée",0,"Benjamin Kuent, ça vous parle ?
Il n'est ni plus ni moins que le premier embouteilleur indépendant de whiskies français. Ce passionné sélectionne des whiskies expressifs aux profils singuliers dans des distilleries françaises incontournables. Son leitmotiv : dénicher des pépites caractérisées par de la finesse, de l'élégance et un brin de poésie...
(D'un) Verre Printanier surprend par sa légèreté et sa fraîcheur. Ce Single Malt en provenance du pays des mirabelles, et plus précisément de la distillerie Rozelieures, éveille à des senteurs et des couleurs nouvelles.
La dominante est fruitée, jouant de notes de fruits blancs et de céréales fraîches, quand la finale s'avère épicée, d'une jolie souplesse.
Un whisky frais et vif au contenant tout aussi élégant que le contenu !",https://vandb.fr/benjamin-kuentz-d-un-verre-printanier-46-.html
METHOD & MADNESS SINGLE MALT 46%,SINGLE MALT,46.0,MIDLETON,IRLANDE,82.9,6,0,0,4,0,8,0,2,0,Or,"Cacahuète fraîchement décortiquée, malt concassé.","Bâton de cannelle, gaufre à la glace vanille, orge grillé.",0,"Bienvenue dans le côté Madness, ce petit grain de folie qui est le gène commun à tous les distillateurs. Il en faut de la folie pour se lancer dans la distillation, ce processus étant longtemps resté mystique.
Dans cette version, la folie s'exprime par le choix de faire un Whisky Single Malt, avec 100% d'orge malté.
Le vieillissement quant à lui est mixte, entre fût ex-bourbon et fût de chêne Français.
Le parti pris était de sortir des styles typiques des irish whiskeys. Vous découvrirez une autre vision, une vision irlandaise du single malt.
A découvrir absolument !",https://vandb.fr/method-madness-single-malt-46-.html
ÉVADÉ TOURBÉ 43%,SINGLE MALT,43.0,NC,FRANCE,49.9,0,4,0,0,8,0,0,4,6,Jonquille,"Fumé, floral","Flan au caramel, crème vanille, fumé, chèvrefeuille, bruyère, floral, herbacé",0,"Du bleu, du blanc, du rouge, pas besoin de cogiter trop longtemps avant de trouver l'origine de ce whisky tourbé ! C'est bel et bien dans le nord-est de la France qu'est élaboré cette jeune marque ""Évadé"".
En plus d'une version single malt ""classique"", Évadé vous propose une version tourbée. La double distillation en alambic charentais est toujours présente, c'est l'utilisation de tourbe d'Hambourg qui va donner son charme à ce whisky, en apportant un petit côté végétal !
Assemblage de whiskies âgés de 4 à 7 ans en fûts de bourbon (de la célèbre distillerie Heaven Hill au Etats-Unis), ce single malt tout en élégance et en délicatesse surfe sur des notes de flan caramel ou de crème vanille, en intégrant le côté végétal de la bruyère. À des kilomètres de la tourbe lourde et puissante d'Islay, cet Évadé sera parfait pour apprécier les saveurs caractéristiques de la tourbe tout en finesse !",https://vandb.fr/evade-tourbe-43-.html
THE POGUES SINGLE MALT 40%,SINGLE MALT,40.0,WEST CORK DISTILLERS,IRLANDE,51.0,6,0,0,4,0,8,0,4,8,Cuivre profond,"Doux et épicé, vanille, miel.","Riche : Céréales, chocolat, vanille, toffee",0,"The Pogues est de retour avec son single malt qui, tout comme pour leur premier blended malt, va se faire une place sans difficulté dans l'univers des whiskeys irlandais ! Le groupe remet le couvert avec la distillerie West Cork pour le plus grand plaisir de ses fans, mais pas que !
La musique et le whisky sont une nouvelle fois parfaitement accordés dans cette cuvée 100% distillée à partir d'orge irlandaise. Le vieillissement est réalisé en fût ex-bourbon puis en fût ex-sherry de petite contenance.
Le nez s'ouvre sur de belles notes boisées et épicées portées par une agréable douceur miellée.
La bouche est généreuse, gourmande, entre notes céréalières et pâtissières.
Un single malt facile à déguster et une belle porte d'entrée dans la famille des whiskeys irlandais.",https://vandb.fr/the-pogues-single-malt-40-.html
EVADÉ SINGLE MALT RED WINE 43%,SINGLE MALT,43.0,SECRÈTE,FRANCE,54.9,6,0,0,10,0,0,0,4,0,Cuivre,"Fruits rouges, pommes cuites, fruits secs","Tanins, fruits rouges, noix de muscade, clou de girofle, vanille",0,"Après le succès de ses deux premiers whiskies, Évadé Single Malt et Évadé Tourbé, la gamme Évadé s'enrichie d'une troisième référence !
Évadé Red Wine représente dignement le savoir-faire français en matière whisky, de la distillation jusqu'à la maturation.
Ce troisième volet fait une entrée remarquée sur le terrain des whiskies français avec son finish en fût de vin rouge Grand Cru du bordelais. Cette dernière étape lui apporte une belle complexité fruitée et d'élégantes notes boisées, avec un nez dominé par les fruits rouges et un bel équilibre en bouche entre notes complexes fruitées, épicées et boisées.
Ce nouveau whisky arbore la troisième couleur de notre drapeau tricolore. Il ne manquait que lui pour compléter votre collection Évadé dans votre armoire à whisky !
À découvrir sans attendre auprès de votre caviste V and B ou sur notre site internet.",https://vandb.fr/evade-single-malt-red-wine-43-.html
1107 SINGLE MALT V AND B 43%,SINGLE MALT,43.0,SECRÈTE,ECOSSE,36.9,4,0,0,10,0,0,0,6,0,Ambre avec des reflets rosés,"Fruits rouges, figue, expressif","Gourmande, fruits rouges, fin boisé, épices fines",0,"Venu tout droit d'Écosse et plus précisément du coeur du Speyside, 1107 débarque en exclusivité chez votre caviste V and B et sur notre site.   Pourquoi 1107 ? Car il s'agit de la distance à vol d'oiseau qui sépare le fief historique de V and B en Mayenne de la distillerie qui a réalisé ce single malt. 
Parmi plusieurs whiskies dégustés à l'aveugle, notre équipe de dégustation a jeté son dévolu sur ce single malt ayant bénéficié d'un finish ibérique. Affiné pour 67% en fût de porto et 33% en fût de sherry, 1107 est à la fois atypique tout en étant grand public de par son profil gustatif.  
Au nez comme en bouche, il évoque toute la rondeur et le fruité caractéristiques des single malt du Speyside, avec de belles nuances d'épices et de bois pour un équilibre réussi. ",https://vandb.fr/1107-single-malt-v-and-b-43-.html
JACOULOT 12 ANS FINISH FÛT MARC DE BOURGOGNE 40%,SINGLE MALT,40.0,NON COMMUNIQUÉE,ECOSSE,65.0,6,0,0,8,4,8,0,6,4,Ambre,"Malt, floral, biscuit","Poivre, fraises, menthe, crème vanille",12,"La Maison Jacoulot est connue comme le loup blanc dans l'univers des crèmes et liqueurs. Installée en Bourgogne, elle possède également depuis quelques années des whiskies et des rhums, non moins réputés. Avant tout reconnue pour son Marc de Bourgogne, elle eu l'idée d'associer ce dernier à un whisky écossais. La maison Jacoulot a en effet scellé un partenariat avec une grande maison de Whisky des Highlands, dont elle garde le nom secret, pour effectuer un finish avec ses fûts de Marc de Bourgogne.
En résulte un whisky atypique et complexe qui apporte une vraie originalité dans l'univers. Ce Jacoulot 12 ans prend la suite du Jacoulot 13 ans, avec un whisky à la trame aromatique identique au précédent, mais ayant simplement perdu une année au compte d'âge. On lui pardonne !
Le nez évoque des saveurs maltées, florales et des notes de biscuit. La bouche est à la fois fraîche et gourmande avec des saveurs mentholées, fruitées et pâtissières. La finale est longue et finement épicée.",https://vandb.fr/jacoulot-12-ans-finish-fut-marc-de-bourgogne-40-.html
GLENDALOUGH SINGLE CASK MADEIRA CASK FINISH 42%,SINGLE GRAIN,42.0,GLENDALOUGH,IRLANDE,39.0,4,0,0,10,0,0,0,4,4,Roux,"Raisins, fruits exotiques, mangue, ananas, zeste d'orange","Fruits confits, raisins, cerises, prunes, vanille, poivre, épices douces",0,"La distillerie artisanale irlandaise Glendalough a vu le jour en 2011 sous l'impulsion de 5 amis de Dublin et Wicklow. Leur but est de créer des whiskeys innovants en s'appuyant sur une longue tradition en matière de distillation. Et le moins que l'on puisse dire, c'est qu'ils ont de la ressource ! Ce Glendalough Triple Barrel est une évolution du Double Barrel, il pousse l'art de l'affinage un cran plus loin que son petit frère. Après un séjour de 3 ans et demi en fûts de bourbon, il est affiné 6 mois en fûts de sherry Oloroso.
A ce stade, le whiskey est embouteillé sous le nom Double Barrel. C'est un ultime passage en fûts de Madère qui va le transformer en Triple Barrel. Le Madère est un vin liquoreux provenant de l'île portugaise du même nom, au large des côtes du nord-ouest de l'Afrique. La chaleur et l'air marin tropical lui donne des arômes intenses que le fût va transmettre à ce whisky Triple Barrel. Ce finish supplémentaire va développer le côté fruité et adoucir les épices par rapport au Double Barrel.
Un whiskey jeune, qui met un peu de temps à s'ouvrir, mais qui dévoilera une palette aromatique fort appréciable !",https://vandb.fr/glendalough-single-cask-madeira-cask-finish-42-.html
